,Time,Low,High,Open,Close,Volume
396,2024-01-05 19:00:00,2217.0,2271.72,2270.29,2241.87,43380.28085198
395,2024-01-06 19:00:00,2206.66,2258.57,2241.81,2222.69,44609.45118075
394,2024-01-07 19:00:00,2167.68,2360.81,2222.86,2332.51,124227.66088047
393,2024-01-08 19:00:00,2228.42,2376.1,2332.52,2344.93,180275.73765795
392,2024-01-09 19:00:00,2340.77,2644.42,2344.97,2584.77,317568.89216896
391,2024-01-10 19:00:00,2567.08,2691.07,2584.85,2618.31,237306.47182505
390,2024-01-11 19:00:00,2455.0,2717.89,2618.37,2522.03,254977.63549268
389,2024-01-12 19:00:00,2496.41,2589.97,2522.02,2578.12,121668.19007134
388,2024-01-13 19:00:00,2467.97,2578.96,2578.13,2470.66,103969.50283893
387,2024-01-14 19:00:00,2468.6,2551.77,2470.65,2509.94,72919.16160111
386,2024-01-15 19:00:00,2498.25,2614.04,2509.85,2586.83,98820.86634244
385,2024-01-16 19:00:00,2505.19,2592.5,2586.46,2527.94,78118.40218361
384,2024-01-17 19:00:00,2423.43,2547.67,2528.02,2468.82,128802.61780602
383,2024-01-18 19:00:00,2412.4,2502.14,2468.82,2490.13,96947.20379828
382,2024-01-19 19:00:00,2452.02,2489.98,2489.98,2470.44,27547.90442945
381,2024-01-20 19:00:00,2451.26,2480.69,2470.51,2455.52,20818.01056422
380,2024-01-21 19:00:00,2301.0,2464.33,2455.09,2311.34,152916.39516189
379,2024-01-22 19:00:00,2165.01,2349.07,2311.52,2240.81,186226.75172366
378,2024-01-23 19:00:00,2195.32,2262.88,2241.1,2234.06,72772.97341402
377,2024-01-24 19:00:00,2169.47,2241.35,2234.34,2217.3,75539.58539235
376,2024-01-25 19:00:00,2194.88,2281.72,2217.29,2267.34,94910.54129622
375,2024-01-26 19:00:00,2250.9,2282.54,2267.47,2268.07,30982.52441099
374,2024-01-27 19:00:00,2239.3,2307.97,2268.12,2256.51,39248.46860701
373,2024-01-28 19:00:00,2233.15,2322.55,2256.47,2317.42,63329.25489388
372,2024-01-29 19:00:00,2296.86,2391.91,2317.63,2342.96,96526.62504443
371,2024-01-30 19:00:00,2262.47,2352.17,2342.96,2281.6,85201.8639706
370,2024-01-31 19:00:00,2239.04,2310.97,2281.55,2303.61,62864.78139733
369,2024-02-01 19:00:00,2280.43,2323.4,2303.66,2308.03,50538.33300083
368,2024-02-02 19:00:00,2292.29,2328.42,2308.06,2295.97,17826.99315399
367,2024-02-03 19:00:00,2266.14,2309.45,2295.97,2288.82,29623.64332388
366,2024-02-04 19:00:00,2268.0,2336.1,2288.82,2298.91,44870.36550212
365,2024-02-05 19:00:00,2295.79,2392.65,2298.93,2372.09,102729.57926297
364,2024-02-06 19:00:00,2352.34,2446.9,2372.09,2424.55,81310.98318267
363,2024-02-07 19:00:00,2410.77,2462.69,2424.71,2419.78,111654.90807514
